ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000025.SZ,20251023,18.5,19.12,18.18,19.12,17.38,1.74,10.0115,185421.84,350207.034,4.916317991631805,,10.0262,尾盘
000026.SZ,20250509,11.53,11.62,11.08,11.62,10.56,1.06,10.0379,224435.68,259447.603,4.647160068846809,10.023,10.0168,尾盘
000026.SZ,20250626,11.83,13.07,11.79,13.07,11.88,1.19,10.0168,262710.0,328360.655,9.793420045906664,10.0139,10.023,尾盘
000026.SZ,20250627,13.1,14.38,12.71,14.38,13.07,1.31,10.023,524967.11,730161.383,11.613351877607787,9.9939,10.0139,尾盘
000026.SZ,20250630,15.82,15.82,15.82,15.82,14.38,1.44,10.0139,84559.15,133772.575,0.0,10.0292,9.9939,早盘
000026.SZ,20250702,16.28,18.16,16.1,18.16,16.51,1.65,9.9939,870001.61,1548791.482,11.343612334801755,9.9887,10.0292,尾盘
000026.SZ,20250807,17.15,18.87,17.14,18.87,17.15,1.72,10.0292,418704.48,763652.54,9.167991520932699,10.0051,9.9887,尾盘
000026.SZ,20250811,17.38,19.49,17.38,19.49,17.72,1.77,9.9887,144249.86,274870.187,10.82606464853771,10.0067,10.0051,尾盘
000026.SZ,20250812,20.01,21.44,19.5,21.44,19.49,1.95,10.0051,562651.19,1139731.87,9.048507462686572,9.9866,10.0067,尾盘
000026.SZ,20251231,14.99,16.38,14.96,16.38,14.89,1.49,10.0067,214683.34,339476.337,8.669108669108658,10.0,9.9866,尾盘
000026.SZ,20260413,15.75,16.41,15.16,16.41,14.92,1.49,9.9866,112227.37,179274.295,7.617306520414381,,10.0,尾盘
000029.SZ,20250530,18.01,20.01,18.01,20.01,18.19,1.82,10.0055,177579.43,350984.386,9.995002498750624,10.01,10.0214,尾盘
000029.SZ,20250710,18.68,20.53,18.2,20.53,18.66,1.87,10.0214,218674.6,431234.313,11.34924500730639,10.015,10.01,尾盘
000029.SZ,20250826,29.77,33.08,29.21,33.08,30.07,3.01,10.01,155463.64,485328.383,11.698911729141468,,10.015,尾盘
000031.SZ,20260120,2.96,3.25,2.93,3.25,2.95,0.3,10.1695,661074.52,208101.457,9.846153846153841,,10.0295,尾盘
000035.SZ,20250911,4.86,5.21,4.86,5.21,4.74,0.47,9.9156,1044370.13,531029.646,6.717850287907863,10.0901,10.0539,尾盘
000035.SZ,20251205,5.59,6.13,5.53,6.13,5.57,0.56,10.0539,747131.55,445346.279,9.787928221859701,10.0471,10.0901,尾盘
000035.SZ,20251211,5.58,6.11,5.58,6.11,5.55,0.56,10.0901,581505.36,347175.081,8.674304418985274,9.9857,10.0471,尾盘
000035.SZ,20260227,7.01,7.01,6.86,7.01,6.37,0.64,10.0471,689827.03,483284.416,2.139800285306697,10.0295,9.9857,尾盘
000035.SZ,20260302,7.71,7.71,7.26,7.71,7.01,0.7,9.9857,1253230.96,963436.194,5.836575875486384,,10.0295,尾盘
000036.SZ,20251117,4.75,5.28,4.75,5.28,4.8,0.48,10.0,2045542.35,1058287.821,10.03787878787879,10.02,9.9768,尾盘
000036.SZ,20251201,4.32,4.74,4.3,4.74,4.31,0.43,9.9768,594518.88,275419.825,9.282700421940936,10.0539,10.02,尾盘
000036.SZ,20251219,5.06,5.49,5.02,5.49,4.99,0.5,10.02,1299645.42,704124.836,8.561020036429884,9.9511,10.0539,尾盘
